date,Busan,Ulsan,Pohang,Pyeongtaek,Tongyeong,Taean,Jinhae ,Jeju,Janghang,Wando,Okpo,Okgye,Yeosu,Sokcho,Seogwipo,Samcheonpo,Samcheok,Boryeong,Mokpo,Masan,Eastsea,Daesan,Gunsan,Gwangyang,Gohyun
2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,1278101.0,1882207.0,926677.0,595907.0,9482.0,9132.0,26342.0,211328.0,23038.0,57168.0,79104.0,190591.0,219616.0,1945.0,82289.0,130345.0,316957.0,18440.0,330566.0,430019.0,738966.0,1582938.0,422569.0,2355696.0,53727.0
2001-02-01,1207035.0,1719793.0,955500.0,704343.0,10378.0,8151.0,27538.0,188797.0,28070.0,31694.0,108407.0,219702.0,56262.0,749.0,62748.0,97796.0,361319.0,6904.0,376868.0,443731.0,943873.0,1230174.0,382823.0,2354259.0,42987.0
2001-03-01,1339205.0,2036680.0,1127099.0,964777.0,20443.0,6547.0,26916.0,204382.0,51857.0,16116.0,108547.0,332251.0,69086.0,1493.0,44262.0,144270.0,559041.0,12773.0,410972.0,528839.0,1122125.0,1240565.0,427839.0,2449763.0,58816.0
2001-04-01,1240724.0,1827967.0,1238945.0,1194588.0,11567.0,10837.0,26873.0,195651.0,60687.0,7131.0,99374.0,405553.0,81742.0,799.0,27680.0,134405.0,593795.0,9368.0,418874.0,567193.0,1292513.0,1145778.0,445196.0,2609137.0,50597.0
2001-05-01,1245387.0,1981241.0,1173381.0,938822.0,5639.0,10829.0,27724.0,178499.0,62974.0,9858.0,109055.0,420297.0,81063.0,2293.0,24393.0,159590.0,638828.0,7666.0,459708.0,600103.0,1300177.0,1022757.0,465349.0,2485235.0,57488.0
2001-06-01,1298495.0,1980572.0,1139032.0,1093289.0,8316.0,9040.0,45291.0,181990.0,57649.0,5633.0,108285.0,398108.0,82072.0,2610.0,27876.0,194252.0,533860.0,9842.0,491071.0,553668.0,1295030.0,854512.0,450448.0,2459575.0,62955.0
2001-07-01,1220455.0,1693576.0,1106179.0,943709.0,6435.0,6597.0,35595.0,174633.0,48571.0,6349.0,102709.0,351765.0,87829.0,2874.0,24249.0,225527.0,590371.0,10406.0,407797.0,491030.0,1143896.0,946373.0,351585.0,2391381.0,45713.0
2001-08-01,1193745.0,1721367.0,1167238.0,1009282.0,10306.0,14089.0,43233.0,181687.0,60278.0,7086.0,88890.0,387120.0,75831.0,3029.0,26423.0,168921.0,530644.0,9200.0,370006.0,511198.0,1190786.0,762626.0,376034.0,2417447.0,65596.0
2001-09-01,1180215.0,1685399.0,1160471.0,1121977.0,7759.0,8650.0,45781.0,208921.0,54514.0,4615.0,133927.0,377363.0,88664.0,2619.0,24258.0,214148.0,631520.0,8140.0,506893.0,538602.0,1217892.0,875059.0,389289.0,2466899.0,93411.0
2001-10-01,1255619.0,1931638.0,1097125.0,1087765.0,8198.0,41694.0,34542.0,219575.0,51133.0,19997.0,116945.0,388024.0,93724.0,1756.0,41890.0,199539.0,601934.0,8806.0,435193.0,513292.0,1095610.0,998168.0,403449.0,2332462.0,115917.0
2001-11-01,1307645.0,1856369.0,1177045.0,1046049.0,8303.0,11118.0,42353.0,263117.0,59807.0,52219.0,111226.0,393181.0,120812.0,1918.0,81117.0,213146.0,613994.0,7145.0,552711.0,625493.0,1293795.0,892140.0,441375.0,2675295.0,97245.0
2001-12-01,1332647.0,1929949.0,1185800.0,1187500.0,9485.0,14867.0,88343.0,255335.0,44197.0,57635.0,119669.0,440277.0,121673.0,1706.0,100497.0,224339.0,594768.0,8889.0,687150.0,659125.0,1243106.0,950396.0,492328.0,2645967.0,131585.0
2002-01-01,1391008.0,1904595.0,1053957.0,850585.0,11098.0,13324.0,49674.0,260648.0,21167.0,48840.0,114404.0,371860.0,94963.0,2104.0,94646.0,205694.0,394769.0,11127.0,692372.0,555870.0,983157.0,798855.0,460897.0,2918162.0,121098.0
2002-02-01,1198446.0,1763394.0,929300.0,909865.0,8034.0,10297.0,42487.0,215067.0,21442.0,38541.0,99163.0,312076.0,75971.0,1351.0,68096.0,192895.0,436959.0,11227.0,519375.0,518442.0,973903.0,984731.0,354619.0,2412192.0,78879.0
2002-03-01,1236788.0,1853922.0,1205119.0,985660.0,8450.0,9938.0,26956.0,219256.0,36496.0,14603.0,111221.0,432946.0,116126.0,1508.0,42823.0,196457.0,585579.0,5046.0,649938.0,607293.0,1194571.0,805016.0,448344.0,2661841.0,98996.0
2002-04-01,2019847.0,1802481.0,1223694.0,871458.0,4291.0,11931.0,28545.0,194175.0,40275.0,10885.0,113418.0,441951.0,91573.0,4066.0,24655.0,206183.0,631228.0,6816.0,651136.0,584771.0,1271782.0,801354.0,391006.0,2384380.0,106745.0
2002-05-01,1126764.0,1866822.0,1149384.0,1270142.0,4927.0,11981.0,36065.0,219967.0,52416.0,8371.0,110637.0,446115.0,105787.0,1224.0,22602.0,252575.0,651011.0,11801.0,698095.0,590741.0,1204177.0,581043.0,426806.0,2509563.0,89809.0
2002-06-01,1215224.0,1670539.0,1107103.0,1106007.0,3989.0,13197.0,23397.0,211070.0,29474.0,7837.0,117427.0,362881.0,94121.0,2116.0,20121.0,231732.0,617452.0,14029.0,601970.0,575554.0,1227869.0,708814.0,411720.0,2451133.0,119043.0
2002-07-01,1106110.0,1537428.0,1055331.0,1030837.0,7470.0,14058.0,25071.0,169144.0,37896.0,40258.0,88543.0,375224.0,285905.0,18100.0,15278.0,192651.0,576357.0,9918.0,675962.0,493898.0,1194887.0,398574.0,378788.0,2237527.0,87514.0
2002-08-01,1099812.0,1604630.0,1011819.0,935126.0,8661.0,7598.0,12308.0,166984.0,51623.0,11671.0,84249.0,346759.0,206356.0,4135.0,22408.0,177578.0,534234.0,13277.0,496802.0,490491.0,1030719.0,408234.0,376565.0,2155682.0,97038.0
2002-09-01,1182565.0,1757443.0,1161736.0,971707.0,7234.0,13955.0,10925.0,166387.0,49845.0,7200.0,102201.0,408271.0,215440.0,2914.0,16506.0,151799.0,583153.0,9401.0,422363.0,534045.0,1022556.0,436464.0,474286.0,2341120.0,99097.0
